Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"14k Gold Diamond Ring, Baguette and Round Diamonds, Solid Gold Band, Minimalist Engagement, Dainty Ring, 14k Rose, Yellow, White, Abbie","$408740","68","$428.00","Jewelry","SarahEliseJewelry","955","19","Member of the shop","Made to Order","210171","Yes","https://www.etsy.com/listing/1033994094/14k-gold-diamond-ring-baguette-and-round","13","Diamond Ring,Baguette Ring,Minimalist Ring,Promise Ring,14k Solid Gold,18k Diamond ring,Dainty Diamond ring,Stacking Ring,Stackable Luxury,wedding ring,Natural diamond ring,cluster diamond ring,best seller","33.72%","322","4.97","None","7.00 days","4 days","10 days","11337","1523","No","07 Tem, 2021","Physical","No","No","No","10","Yes","0.45%","NaN","0.0","$8121",
"Vintage 2CT/3CT Emerald Cut Moissanite Engagement Ring/ Anniversary Ring For Women/ Bezel Set Wedding Promise Ring/ Gold Ring/ Proposal Ring","$327489","74","$519.00","Jewelry","PerfectLoverRing","631","18","Member of the shop","Made to Order","300786","Yes","https://www.etsy.com/listing/1324980611/vintage-2ct3ct-emerald-cut-moissanite","13","engagement ring,moissanite ring,moissanite diamond,moissanite gold ring,vintage ring,antique ring,promise ring,anniversary ring,solitaire ring,Emerald cut,bezel set ring,thin band ring,proposal ring","29.48%","186","4.95","None","12.50 days","10 days","15 days","8947","1060","Yes","14 Eki, 2022","Physical","No","No","Yes","9","Yes","0.21%","NaN","0.0","$9301",
"Mens Ring - Mens Silver Ring - Silver Polished Band Ring - Mens Pinky Ring - 8mm Band / Signet Ring Men - Rings for Men By Twistedpendant","$24336","53","$20.28","Jewelry","Twistedpendant","1200","17","Production partner","","66003","No","https://www.etsy.com/listing/743543930/mens-ring-mens-silver-ring-silver","13","mens ring,silver ring,mens jewellery,mens silver ring,Silver ring mens,Stainless steel ring,mens promise rings,rings for men,mens pinky ring,signet ring men,mens band rings,mens gold rings,mens wedding ring","13.83%","166","4.90","Lindsey","1.00 days","1 days","1 days","2281","2110","No","28 Kas, 2019","Physical","No","No","No","10","No","1.82%","NaN","0.0","$348",
"Mens Ring - Hand Of God Ring For Men - Creation Of Adam Silver Ring - Silver Band Ring- Mens Rings Gold / Silver - Hand Ring Steel Band Ring","$973","47","$27.04","Jewelry","Twistedpendant","36","17","Production partner","","1556","No","https://www.etsy.com/listing/4325397856/mens-ring-hand-of-god-ring-for-men","13","creation of Adam,mens ring,hand of god ring,creation Adam ring,hands ring,hands god ring,gold ring for men,mens silver ring,silver ring for men,silver ring men,mens pinky ring,signet ring men,mens band ring","13.89%","5","4.60","Lindsey","1.00 days","1 days","1 days","148","76","No","24 Haz, 2025","Physical","No","No","No","10","No","2.31%","NaN","0.0","$469",
"Unique Flower 10K/14K/18K Plain gold wedding band Antique ring Delicate woman ring Art deco band Bridal ring Promise ring Anniversary ring","$128115","63","$195.00","Jewelry","Bywardjewelry","657","17","Shop owner","Made to Order","330442","Yes","https://www.etsy.com/listing/1251468841/unique-flower-10k14k18k-plain-gold","13","Bridal ring,Promise ring,Anniversary ring,Solid gold ring,Wedding ring,Matching ring,Stackable ring,Flower ring,Unique wedding ring,Simple gold ring,silver ring,Antique ring,Plain gold ring","32.12%","211","4.93","None","17.50 days","14 days","21 days","18260","1181","No","15 Haz, 2022","Physical","No","No","No","8","Yes","0.20%","NaN","0.0","$3306",
"Custom Engraved Birthstone Ring, Personalized Ring with Birthstone, Stacking Baby Name Birthstone Ring, Custom Mom Gifts, Personalized Gift","$8059","58","$36.47","Jewelry","GiftloverArt","221","17","Shop owner","Made to Order","13571","No","https://www.etsy.com/listing/1782793281/custom-engraved-birthstone-ring","13","Dainty Ring,engraved band ring,custom name ring,children name rings,custom birthstone,custom engraved band,personalized ring,delicate custom ring,personalized jewelry,engraved gold rings,skinny band ring,stacking rings,stepmom gifts","19.91%","44","4.82","None","10.50 days","7 days","14 days","269","381","Yes","23 A%u011Fu, 2024","Physical","No","No","Yes","10","Yes","1.63%","NaN","0.0","$635",
"YELLOW GOLD METEORITE Hammered Ring, Gold Hammered Wedding Band w. Real Meteorite Inlay, Yellow 18K Gold, Mens Ring, Meteorite Ring","$211000","58","$500.00","Jewelry","BoldandRusticJeweler","422","17","Shop owner","","81005","No","https://www.etsy.com/listing/1531647806/yellow-gold-meteorite-hammered-ring-gold","13","meteorite band,unique wedding band,faceted wedding ring,meteorite ring,Mens wedding band,Yellow Gold Ring,Gold Mens Ring,18k Gold Meteorite,Hammered Gold Ring,hammered mens ring,gold wedding band,Statement Ring,men gold ring","28.44%","120","4.99","None","1.00 days","1 days","1 days","3710","753","No","16 A%u011Fu, 2023","Physical","No","No","No","9","Yes","0.52%","NaN","0.0","$8419",
"Engraved metal fob watch in black, gold, silver or rose gold. Nurses, doctors, carers watch. Add own text to front, back or presentation tin","$9414","42","$13.43","Jewelry","GiftsAndBitsByK","701","16","Shop owner","Made to Order","14130","No","https://www.etsy.com/listing/1157822274/engraved-metal-fob-watch-in-black-gold","12","customized,gift for her,gift for mum,mothers day gift,fob watch,nurses watch,carers watch,doctors watch,fob watch brooch,fob watch with name,personalised watch,nhs gift","16.55%","116","4.37","None","1.00 days","1 days","1 days","199","1313","Yes","02 %u015Eub, 2022","Physical","No","No","Yes","10","No","4.96%","NaN","10.0%","$215",
"Personalized 18k Solid Gold Inner Engraving Band, 1.8mm Thin Custom Name Ring, Stackable Wedding Band Ring","$18998","68","$118.00","Jewelry","VannaryJewelry","161","16","Shop owner","Made to Order","22930","Yes","https://www.etsy.com/listing/1792306012/personalized-18k-solid-gold-inner","13","solid real genuine,gold yellow band,stacking rings shiny,personalized jewelry,custom engraved thin,stackable gift her,everyday minimalist,initial name dainty,promise friendship,font emoji forever,14k 18k wedding 14kt,inspiration unique,inner inside rounded","32.30%","52","4.96","None","1.50 days","1 days","2 days","878","335","No","08 Eki, 2024","Physical","No","No","Yes","10","Yes","0.70%","NaN","0.0","$1836",
"Sterling Silver Cross Birthstone Ring, Handmade Jewelry, Jewelry Silver Gold Rose Filled Band, Confirmation Gift, Gift For Her, For Wife","$6188","68","$38.92","Jewelry","Suewgiftshop","159","16","Shop owner","","16384","Yes","https://www.etsy.com/listing/1815339177/sterling-silver-cross-birthstone-ring","13","Handmade Jewelry,Family Ring,Birthday Gift,Mom Wife Women,mothers day jewelry,birthstone ring,personalized jewelry,birthstone gold ring,custom ring,gemstone jewelry,custom jewelry,Birthstone jewelry,personalized gift","18.24%","29","4.90","None","10.50 days","7 days","14 days","695","318","Yes","25 Eki, 2024","Physical","No","No","Yes","10","Yes","0.97%","NaN","0.0","$608",
"14k Solid Yellow Gold Flat Wedding Band | 2mm - 8mm Gold Wedding Ring | Polished Flat Comfort Fit Wedding Band | Personalized Wedding Ring","$70497","79","$189.00","Jewelry","VibrantStone","373","16","Shop owner","Made to Order","62690","Yes","https://www.etsy.com/listing/1557126972/14k-solid-yellow-gold-flat-wedding-band","13","14k wedding band,14k yellow gold ring,mens wedding bands,womens wedding bands,flat wedding band,14k yellow flat ring,flat mens ring,3mm yellow gold band,4mm yellow gold ring,5mm mens gold band,6mm mens gold ring,personalized ring,solid gold ring","20.64%","77","4.87","None","3.50 days","1 days","6 days","1395","718","No","21 Eyl, 2023","Physical","No","No","Yes","10","Yes","0.59%","NaN","0.0","$3051",
"14K Gold Filled Hammered Stacking Ring: Dainty Band","$20200","74","$20.00","Jewelry","LyndyLouDesigns","1010","15","Shop owner","Made to Order","51131","No","https://www.etsy.com/listing/790532435/14k-gold-filled-hammered-stacking-ring","13","gold filled,hammered bands,hammered rings,spacer rings,stacking ring set,gold stacking rings,thin gold rings,gold stackable rings,minimalist rings,gold filled rings,14k yellow gold,gold ring set,handmade jewelry","23.17%","234","4.89","None","1.50 days","1 days","2 days","2249","1989","No","29 Mar, 2020","Physical","No","No","No","10","Yes","1.98%","NaN","0.0","$305",
"Vintage Diamond Wedding Band- 14K Rose Gold Vermeil Engagement Ring For Women Dainty Promise Ring Art Deco Anniversary Birthday Gift For Her","$111517","63","$89.00","Jewelry","Aquamarise","1253","15","Shop owner","Made to Order","158582","Yes","https://www.etsy.com/listing/654791677/vintage-diamond-wedding-band-14k-rose","13","14K Rose Gold Band,Stackable Ring,Anniversary Gift,her Wedding Band,engagement ring,Dainty promise ring,ANNIVERSARY RING,unique wedding band,GIFTS FOR HER,GIFTS FOR MOM,GIFT FOR WIFE,PROMISE RING FOR HER,handmade jewelry","30.81%","386","4.80","None","4.00 days","3 days","5 days","8768","2505","No","29 Eki, 2018","Physical","No","No","Yes","7","Yes","0.79%","NaN","0.0","$1345",
"14k Gold Marquise Solitaire Engagement Ring,CZ Marquise Cut, Diamond Simulant, Travel ring, Minimalist promise ring,Gold Plated Silver","$1395","68","$39.86","Jewelry","ForYouJewelryHM","35","15","Shop owner","Made to Order","1921","Yes","https://www.etsy.com/listing/4328141373/14k-gold-marquise-solitaire-engagement","13","Marquise Cut Ring,Promise Ring,CZ Engagement rings,Moissanite Gold Ring,yellow gold ring,simulated diamond,minimalist gold ring,travel engagement,gift for her,Thin Stacking Ring,promise ring gold,engagement band,marquise solitaire","14.29%","5","4.60","None","2.00 days","1 days","3 days","34","69","No","30 Haz, 2025","Physical","No","No","Yes","9","Yes","1.82%","NaN","0.0","$609",
"Mens Ring - Gold Vintage Band Ring For Men - Greek Key Patterned Ring Men - Minimalist Pinky / Index Ring - Mens Jewelry By Twistedpendant","$7204","47","$24.34","Jewelry","Twistedpendant","296","15","Production partner","","25390","No","https://www.etsy.com/listing/1658226781/mens-ring-gold-vintage-band-ring-for-men","13","minimalist rings men,mens jewelry,mens pinky ring,gold ring men,rings for men,gold rings for men,signet ring men,greek key ring,man ring uk,band ring men,mens gold ring,mens ring gold,jewellery for man","13.85%","41","4.70","Lindsey","1.00 days","1 days","1 days","1134","602","No","15 Oca, 2024","Physical","No","No","No","10","No","1.17%","NaN","0.0","$368",
"Large Gold Wrap ring, 14K Gold Fill wraparound, gold fill wrapped criss cross, woven ring, infinity, intertwined, overlapping, texture","$120224","74","$68.00","Jewelry","hannahnaomi","1768","15","Shop owner","Made to Order","138286","Yes","https://www.etsy.com/listing/276829058/large-gold-wrap-ring-14k-gold-fill","13","wrap around ring,wraparound ring,overlapping ring,gold infinity ring,gold spiral ring,gold wrap ring,delicate gold ring,gold ring,overlap ring,loop ring,cocktail ring,delicate ring,hammered ring","17.82%","315","4.75","None","2.50 days","1 days","4 days","8730","3430","No","18 Nis, 2016","Physical","No","No","No","10","Yes","1.28%","NaN","0.0","$1053",
"Mens Ring Gold Band Ring Mens Signet Statement Stainless Steel Rings for Mens Jewelry Gift for Him Pinky Ring - By Twistedpendant","$16417","47","$21.63","Jewelry","Twistedpendant","759","14","Production partner","","78428","No","https://www.etsy.com/listing/1004730605/mens-ring-gold-band-ring-mens-signet","13","mens ring,mens silver ring,rings for men,gold rings for men,gold signet ring,Gold band rings,Mens gold rings,Gifts for him,mens pinky rings,signet ring men,mens gold ring,mens pinky ring,vintage gold rings","13.83%","105","4.70","Lindsey","1.00 days","1 days","1 days","1584","1601","No","20 Nis, 2021","Physical","No","No","No","10","No","0.97%","NaN","0.0","$310",
"PERIMADE Olive Tree Leaf Band Ring %u2022 Dainty Gold Leaf Stacking Thin Ring %u2022 Sterling Silver Friendship Jewelry %u2022 Trendy Best Friend Gift","$2423","58","$16.95","Jewelry","Perimade","143","14","Member of the shop","Made to Order","14196","No","https://www.etsy.com/listing/1818866759/perimade-olive-tree-leaf-band-ring","13","index pinky finger,delicate minimalist,mom daughter sister,matching couple gift,mother lesbian bride,wedding anniversary,bridesmaid birthday,dainty gold handmade,fun mood unique cute,relationship promise,cheap y2k indie boho,teenage teen girl,boyfriend girlfriend","22.38%","32","4.78","A Silver Casting Workshop","7.50 days","5 days","10 days","1206","311","No","01 Kas, 2024","Physical","No","No","No","7","Yes","1.01%","NaN","0.0","$234",
"Gold Rune Ring %u2013 Engraved Titanium Fantasy Band %u2013 Wedding or Engagement Gift","$1609","74","$80.48","Jewelry","BlueFirePhoenixBE","20","14","Shop owner","","3227","Yes","https://www.etsy.com/listing/4340469645/gold-rune-ring-engraved-titanium-fantasy","13","Rune Ring,Fantasy Ring,Gold Ring,Titanium Ring,Wedding Band,Engagement Ring,Gift For Him,Gift For Her,Engraved Ring,Mythic Ring,Legendary Ring,Anniversary Band,Fantasy Jewelry","25.00%","5","5.00","None","1.50 days","1 days","2 days","147","46","No","24 Tem, 2025","Physical","No","No","No","9","Yes","0.62%","NaN","0.0","$1116",
"14K Gold Thin Wedding Bands %u2013 1mm 2mm 3mm 4mm 5mm 6mm Minimalist Wedding Ring, Stacking Ring, Gift for Her, Gift for Him, Domed Comfort Fit","$490","53","$35.00","Jewelry","ForYouJewelryHM","14","14","Shop owner","Made to Order","2512","Yes","https://www.etsy.com/listing/4354710678/14k-gold-thin-wedding-bands-1mm-2mm-3mm","13","gold wedding band,handmade silver ring,men wedding ring,engagement ring,promise ring,anniversary gift,custom ring jewelry,personalized ring,GIFTS FOR HER,GIFTS FOR HIM,Halloween gift,LASER ENGRAVING,sterling silver band","0.00%","0","0.00","None","2.00 days","1 days","3 days","14","20","No","19 A%u011Fu, 2025","Physical","No","No","Yes","10","Yes","0.56%","NaN","0.0","$896",
"Greek Key Mythology Ring - Gold Roman Band Ring for Men - Gold Ring Men - Mens Jewellery - Mens Pinky Ring - Greek Ring - By Twistedpendant","$3891","53","$25.60","Jewelry","Twistedpendant","152","14","Production partner","","6668","Yes","https://www.etsy.com/listing/1805151277/greek-key-mythology-ring-gold-roman-band","13","mens ring,gold ring men,mens jewelry,rings for men,gold band ring,greek ring,roman ring,mens pinky ring,greek mythology ring,greek key ring,mens gold ring,gold plated ring,gold vintage ring","13.82%","21","4.95","Lindsey","1.00 days","1 days","1 days","603","338","No","05 Eki, 2024","Physical","No","No","No","10","No","2.28%","NaN","0.0","$357",
"Gold Wire Love Ring - Adjustable Band - Dainty Ring, Conversation Ring","$35046","53","$14.99","Jewelry","FabulousWire","2338","14","Shop owner","Made to Order","23910","No","https://www.etsy.com/listing/85222151/gold-wire-love-ring-adjustable-band","13","WIre Love Ring,Gold Wire Ring,Adjustable Ring,Love Romantic,Valentines Day,Lover Gift,Love Jewelry,Custom Handmade,Gift For Her,Wire Name,Love And Friendship,Girlfriend Gift,Anniversary","13.05%","305","4.92","None","3.50 days","2 days","5 days","7467","5058","No","03 Kas, 2011","Physical","No","No","No","4","No","9.78%","NaN","0.0","$208",
"Mens Ring - Gold Signet Ring - Square Signet Ring - Mens Silver Ring - Stainless Steel Ring - 18K Gold Plated Ring - Thin Pinky Ring Gift","$11439","53","$24.34","Jewelry","Twistedpendant","470","14","Production partner","","36840","No","https://www.etsy.com/listing/1332752465/mens-ring-gold-signet-ring-square-signet","13","Gold Signet Ring,Mens rings,Stainless steel ring,Gold Rings men,Sterling silver ring,Silver rings men,Gold rings for men,Mens band rings,Signet ring men,rings for men,gold pinky ring,square signet ring,gifts for men","13.83%","65","4.90","Lindsey","1.00 days","1 days","1 days","1064","1048","No","25 Eki, 2022","Physical","No","No","No","10","No","1.28%","NaN","0.0","$332",
"Yellow Gold Moss Agate Ring 8mm 6mm 4mm Polish Tungsten Wedding Ring Moss Agate Ring Mens Ring Men & Women","$97595","74","$199.99","Jewelry","TungstenRingStudio","488","14","Shop owner","","38145","Yes","https://www.etsy.com/listing/1303482326/yellow-gold-moss-agate-ring-8mm-6mm-4mm","13","Wedding Bands,Anniversary Rings,Tungsten Ring,Mens Ring,Women Rings,Green Ring,Moss Agate Ring,Moss agate women,moss agate band,Moss agate wedding,silver gray ring,Yellow Gold Band,Yellow gold ring","33.40%","163","4.94","None","2.00 days","1 days","3 days","1614","1071","No","03 Eki, 2022","Physical","No","No","Yes","10","Yes","1.28%","NaN","0.0","$2743",
"Sapphire Blue Tiny Baguette CZ Ring in Sterling Silver, Silver or Gold, Minimalist 2x4mm Single Baguette CZ Ring US 5 - 8","$4954","63","$16.14","Jewelry","SilverRainSilver","307","13","Member of the shop","2010 - 2019","19662","No","https://www.etsy.com/listing/1555441086/sapphire-blue-tiny-baguette-cz-ring-in","13","Infinity Ring,Friendship Ring,Pretty Ring,Sterling Silver,Baguette Ring,Cluster Ring,Sparkly Ring,CZ ring,ring,band,stacking ring,Sapphire Ring,Blue","20.52%","63","4.86","None","1.50 days","1 days","2 days","1582","720","No","19 Eyl, 2023","Physical","No","No","No","8","No","1.56%","NaN","0.0","$207",
"Gold 18k Mens Gold Leaf Wedding Ring | Tungsten Ring in 6mm width","$23500","53","$250.00","Jewelry","LadiesAndGentsBands","94","13","Shop owner","Made to Order","14887","No","https://www.etsy.com/listing/1865523899/gold-18k-mens-gold-leaf-wedding-ring","13","unique wedding band,mens wedding band,mens wedding ring,mens gold ring,unique wedding ring,his-and-hers,her and his,meteorite ring,6mm ring,gold 18k mens ring,gold 18k ring,gold wedding ring,gold ring","29.79%","28","4.93","None","1.00 days","1 days","1 days","598","223","Yes","28 Oca, 2025","Physical","No","No","No","10","Yes","0.63%","NaN","0.0","$3190",
"Sterling Silver Gold Plated The One Ring %u2013 Inspired Ring , Frodo Ring in Gold or Silver ,Elvish Inscription Gift for Him or Her.","$1625","53","$125.00","Jewelry","SeaSilverAndGold","13","13","Shop owner","Made to Order","2136","No","https://www.etsy.com/listing/4350756697/sterling-silver-gold-plated-the-one-ring","13","sterling silver,husband gift,unique silver gift,custom men jewelry,handmade jewelry,the one ring,middle earth,fantasy ring,elvish ring,lord of the rings,frodo baggins,ring of power,frodo ring","15.38%","2","5.00","None","3.50 days","1 days","6 days","99","26","No","12 A%u011Fu, 2025","Physical","No","No","No","5","Yes","0.61%","NaN","0.0","$1929",
"Minimalist Diamond Curved Wedding Band - Rose Gold Round Moissanite Promise Ring - Unique Matching Stacking Ring by ManhattanBox","$238701","68","$317.00","Jewelry","ManhattanBox","753","13","Shop owner","Made to Order","145087","Yes","https://www.etsy.com/listing/917645135/minimalist-diamond-curved-wedding-band","13","Vintage ring,wedding band,art deco band,wedding ring,vintage band,curve wedding band,Manhattan Box,Rose Gold Ring,Womens Wedding Band,Stacking Rings,Personalized Jewelry,Gift for Women,Moissanite Ring","36.65%","276","5.00","None","17.50 days","14 days","21 days","6602","1739","Yes","04 Ara, 2020","Physical","No","No","Yes","10","Yes","0.52%","NaN","0.0","$4156",
"Turquoise Inlay Gold Tungsten Ring, Yellow Gold Tungsten Wedding Ring,Turquoise Wedding Band,4mm Promise Ring,Unisex Band,Anniversary Gift","$4349","63","$70.16","Jewelry","Zazthetics","62","13","Shop owner","Made to Order","2763","No","https://www.etsy.com/listing/1882021852/turquoise-inlay-gold-tungsten-ring","13","Tungsten Ring,Men's Wedding Ring,Wedding Band,Promise Ring,Gold Band,4MM Band,Women's Tungsten,Turquoise Band,Turquoise Gold,Turquoise Inlay,Unique Tungsten Ring,Turquoise Band Women,Father's Day Gift","17.74%","11","5.00","None","3.00 days","1 days","5 days","184","161","No","31 Mar, 2025","Physical","No","No","Yes","6","Yes","2.24%","NaN","0.0","$907",
"14k Solid Gold Twisted Solitaire Ring %u2022 Tiny Diamond Engagement Ring %u2022 Dainty Minimalist Ring %u2022 Promise Jewelry Gift for Her","$180256","68","$269.04","Jewelry","LucysFineJewelry","670","13","Shop owner","Made to Order","216810","Yes","https://www.etsy.com/listing/1062338423/14k-solid-gold-twisted-solitaire-ring","13","twisted gold ring,dainty solitaire,tiny diamond ring,14k gold ring,gold engagement ring,promise ring for her,minimalist band,solid gold jewelry,gift for women,solitaire ring,dainty engagement,bridal ring,stacking gold ring","34.93%","234","4.99","None","4.50 days","3 days","6 days","6862","1495","No","04 A%u011Fu, 2021","Physical","No","No","No","10","Yes","0.31%","NaN","0.0","$3623",
"Mens Ring - Gold Band Ring - Mens Pinky Rings - 6MM Signet Ring - 18K Gold Pattern Rings for Men- Mens Gold Rings - Mens Gifts, Mens Jewelry","$7981","53","$21.63","Jewelry","Twistedpendant","369","12","Production partner","","17508","No","https://www.etsy.com/listing/1431962619/mens-ring-gold-band-ring-mens-pinky","13","Mens rings,Mens ring,mens band ring,mens pinky rings,rings for men,gold pinky ring,pinky ring men,streetwear jewelry,mens gift,mens custom ring,mens gold rings,mens ring vintage,mens custom jewelry","13.82%","51","4.80","Lindsey","1.00 days","1 days","1 days","844","917","No","06 Mar, 2023","Physical","No","No","No","10","No","2.11%","NaN","0.0","$265",
"14K Dainty Diamond Band / 1.3mm Chevron Diamond Ring / Bridal Ring / 14k Gold Wedding Ring / Stacking Ring / Stackable Ring / Chevron Band","$210519","63","$207.00","Jewelry","BrilliantForever","1017","12","Shop owner","Made to Order","125789","Yes","https://www.etsy.com/listing/611977076/14k-dainty-diamond-band-13mm-chevron","13","diamond ring,diamond band,dainty diamond ring,dainty diamond band,wedding ring,wedding band,chevron ring,chevron diamond ring,engagement band,stackable ring,stacking ring,v ring,bridal ring","26.16%","266","4.96","TS Casting Company","8.50 days","7 days","10 days","7683","2622","No","04 Tem, 2018","Physical","No","No","No","9","Yes","0.81%","NaN","0.0","$2409",
"Kite Green Moss Agate Ring Set- His and Hers Wedding Band- Rose Gold Ring Set- Matching Nature Couples Promise Ring- 14K Rose Gold Vermeil","$75460","68","$245.00","Jewelry","Aquamarise","308","12","Shop owner","Made to Order","78335","Yes","https://www.etsy.com/listing/1535585517/kite-green-moss-agate-ring-set-his-and","13","Matching ring set,kite ring set,man rose gold ring,moss agate ring set,his and hers ring,couples ring set,engagement ring set,wedding ring set,couples promise ring,couple wedding band,promise ring set,hammered men's ring,man green moss agate","30.84%","95","4.90","None","4.00 days","3 days","5 days","4045","768","No","02 A%u011Fu, 2023","Physical","No","No","Yes","8","Yes","0.39%","NaN","0.0","$3017",
"14k Solid Gold Half Eternity Band / Round Cut Moissanite Wedding Ring / Stackable Halfway Ring / Anniversary Gift for Women","$46698","58","$181.00","Jewelry","Lavense","258","12","Shop owner","Made to Order","93234","No","https://www.etsy.com/listing/1623230017/14k-solid-gold-half-eternity-band-round","13","stackable wedding,thin eternity band,thick eternity band,eternity anniversary,gold eternity band,thin gold eternity,solid gold eternity,rose gold eternity,white gold eternity,14k gold eternity,halfway moissanite,half eternity ring,gold halfway ring","21.71%","56","4.66","None","3.50 days","2 days","5 days","1714","648","No","30 Kas, 2023","Physical","No","No","No","4","Yes","0.28%","NaN","0.0","$2173",
"Domed 14k Yellow Gold Tungsten Ring Mens Wedding Band Ring, 6mm, Yellow gold tungsten band 4-15 Half Sizes Comfort Fit Shiny Polished","$294243","53","$188.86","Jewelry","BravermanOren","1558","12","Member of the shop","Made to Order","160570","No","https://www.etsy.com/listing/233748574/domed-14k-yellow-gold-tungsten-ring-mens","13","Wedding Ring,Wedding Band,Rose Gold,Shiny Polished,tungsten ring,Yellow Gold Ring,14k gold,yellow gold band,yellow ring,14k yellow gold,Domed,Domed Ring,6mm","35.17%","548","4.90","None","38.50 days","7 days","70 days","2412","3766","No","17 May, 2015","Physical","No","No","Yes","3","Yes","0.97%","NaN","0.0","$2352",
"Gold Adjustable Hollow Oval Band Ring, Tarnish Free Gold Ring, Adjustable Gold Ring, Statement Ring","$337","47","$16.06","Jewelry","PDjewelleryStore","21","12","Shop owner","","140","No","https://www.etsy.com/listing/4335346811/gold-adjustable-hollow-oval-band-ring","12","Gold,Adjustable,Ring,Gold ring,Statement ring,Adjustable ring,Gifting,Chunky ring,Stacking ring,Gift ideas,Band Ring,Oval","4.76%","1","5.00","None","1.50 days","1 days","2 days","16","55","No","14 Tem, 2025","Physical","No","No","No","2","No","15.00%","NaN","0.0","$196",
"14k Gold 1mm Wedding Bands , Domed Comfort Fit , Minimalist Wedding Ring , Thin Stacking Ring , Handmade , Gift For Her , Personalized","$420","63","$35.00","Jewelry","ForYouJewelryHM","12","12","Shop owner","Made to Order","253","Yes","https://www.etsy.com/listing/4347043416/14k-gold-1mm-wedding-bands-domed-comfort","13","curved wedding band,promise ring gold,GIFTS FOR HIM,engagement ring,personalized gold,polished gold band,minimalist 14k gold,thin wedding ring,classic wedding band,gold wedding band,silver wedding band,ANNIVERSARY GIFT,women ring 6mm","16.67%","2","4.50","None","2.00 days","1 days","3 days","17","33","No","06 A%u011Fu, 2025","Physical","No","No","Yes","8","Yes","4.74%","NaN","0.0","$421",
"Solid 14K Gold Mirror Anklet, Ladies Gold Anklet, 14kt Gold ITALIAN MIRROR Anklet, 14K Ladies Gold Ankle Band, Trending Gold Anklet","$58179","58","$129.00","Jewelry","10K14KGOLD","451","12","Shop owner","","47599","No","https://www.etsy.com/listing/1274208936/solid-14k-gold-mirror-anklet-ladies-gold","13","Ladies Gold Anklet,14K Gold Paperclip,14K Gold Anklet,summer anklets,14K Mirror Anklet,Mirror Anklet,14kt Anklet,14K Gold Mirror,Ankle Bracelet,14k ankle bracelet,trending jewelry,women anklet,women Christmas gift","33.26%","150","4.64","None","1.00 days","1 days","1 days","1421","1117","No","18 A%u011Fu, 2022","Physical","No","No","No","2","Yes","0.95%","NaN","0.0","$1563",
"Oval Moissanite Ring 14k Solid Gold Floating Gem Ring East West Unique Sideway Oval Cut Ring Unique Floating Stone Wedding Promise Ring Gift","$1540","47","$110.00","Jewelry","DazzyStix","14","11","Shop owner","Made to Order","2935","No","https://www.etsy.com/listing/4331970363/oval-moissanite-ring-14k-solid-gold","13","Minimalist Ring,Promise Ring,Moissanite Ring,East West Ring,Moissanite Jewelry,Wavy Band Ring,Gold Stacking Ring,Engagement Ring,Oval Moissanite,Oval Moissanite Ring,Curve Ring,Christmas Gift,New Year Gift","0.00%","0","0.00","None","6.00 days","5 days","7 days","114","62","No","08 Tem, 2025","Physical","No","No","No","10","Yes","0.48%","NaN","0.0","$1239",
"10K Solid Yellow Gold 0.45' Diamond Cut Butterfly Band Ring.","$43470","58","$115.00","Jewelry","DiamomoJewelry","378","11","Production partner","Made to Order","44804","No","https://www.etsy.com/listing/1305927942/10k-solid-yellow-gold-045-diamond-cut","13","10k,10k gold,10k gold ring,10k ring,butterfly,butterfly ring,10k butterfly,10k butterfly ring,10k gold butterfly,butterfly 10k,gold ring,butterfly 10k gold,gold butterfly","28.31%","107","4.66","Diamomo","2.00 days","1 days","3 days","2045","1067","No","06 Eki, 2022","Physical","No","No","No","8","Yes","0.84%","NaN","0.0","$1227",
"2.5 Ct Oval Moissanite Engagement Ring: 14k Solid Gold Wide Band","$2963","58","$118.55","Jewelry","JaipurGalleryIN","25","11","Shop owner","Made to Order","6538","No","https://www.etsy.com/listing/4329051073/25-ct-oval-moissanite-engagement-ring","13","Moissanite Ring,Single Stone Ring,Proposal Ring,Promise Ring,Engagement Ring,Wedding Ring,Delicate Ring,Anniversary Ring,Personalized Gifts,Solitaire Ring,Ring for Women,Wide Band Ring,14k Solid Gold Ring","16.00%","4","4.50","None","6.00 days","5 days","7 days","200","68","No","02 Tem, 2025","Physical","No","No","No","10","Yes","0.38%","NaN","0.0","$1340",
