Keyword,Search volume,3mo. Change,Competition,Score,Google Top of Page Bid (High),Google Top of Page Bid (Low),Google competition index,Google 1-Year Change,Google 3-Month Change,Etsy tag,Character length,Long-tail keyword,Average Review Count,Average Review Score,Google CPC,Google Competition Level,Google search volume,Average listing age,Average LQS,Conversion rate,Average price,Search to competition ratio,Competition level,Average views,Views,Average revenue,Revenue,Average sales,Sales,1-Year Change
"bridesmaid gifts","108363","7.0%","995573","51","$1","$0","","-45%","-19%","Yes","","","33.2","4","$0","Low","49500","291","57","4.12%","$41.00","0.05","Very high","7501","322196082","$5749","$255678417","175","8416252","0.0%",
"graduation gift","132325","-32.0%","986395","53","$1","$0","","808%","3437%","Yes","","","21.9","4","$0","Low","110000","371","54","3.14%","$55.18","0.11","Very high","4745","183449317","$4453","$119996580","119","3999886","0.0%",
"silver pendant","108804","-21.0%","2376456","50","$0","$0","","-18%","-12%","Yes","","","19.9","4","$0","Low","27100","286","58","9.58%","$37.67","0.01","Very high","2754","243982800","$2572","$206294400","90","13224000","0.0%",
"hats caps adult","33413","26.0%","68396","59","$0","$0","","0%","0%","Yes","","","18.5","4","$0","Low","0","477","53","3.94%","$28.16","0.49","Moderate","3942","31576536","$2013","$12357300","110","755976","0.0%",
"necklace for women","289683","92.0%","2796650","52","$0","$0","","-18%","-18%","Yes","","","11.1","4","$0","Low","201000","372","53","2.08%","$83.80","0.07","Very high","3819","327572648","$2993","$192038080","59","4431648","0.0%",
"personalized gifts","354938","-6.0%","7830102","51","$1","$0","","-83%","-62%","Yes","","","41.3","4","$1","Low","201000","299","58","6.94%","$43.22","0.03","Very high","5750","904410944","$7617","$1183320569","213","39419227","0.0%",
"to be moms","256233","8.0%","5555294","26","$0","$0","","0%","0%","Yes","","","28.4","4","$0","Low","0","328","57","4.69%","$42.62","0.05","Very high","5682","806847800","$4761","$614853360","143","23557600","0.0%",
"bangle bracelet","92963","41.0%","374109","61","$0","$0","","-18%","7%","Yes","","","14.9","4","$0","Low","74000","412","53","3.10%","$158.47","0.20","High","3827","97236326","$3793","$55953205","84","1880780","0.0%",
"mens belt buckle","17846","6.0%","39414","48","$0","$0","","0%","0%","Yes","","","11.6","4","$0","Low","0","364","57","2.41%","$72.32","0.00","Low","2867","15662260","$2661","$10755200","56","218465","0.0%",
"nature","189775","28.0%","2760109","75","$0","$0","","0%","0%","Yes","","","33.2","4","$0","Low","2740000","297","57","4.44%","$62.35","0.99","Very high","4849","476918848","$3732","$245962752","137","12444544","0.0%",
"silver","493871","-2.0%","10712172","55","$1","$0","","-86%","-6%","Yes","","","30.6","4","$0","Low","2240000","299","58","9.82%","$43.06","0.21","Very high","3711","931467064","$3921","$975647320","130","49702788","0.0%",
"wedding ring","271683","20.0%","1821139","56","$0","$0","","-18%","-6%","Yes","","","23.2","4","$0","Low","673000","286","56","1.74%","$534.47","0.37","Very high","8229","773815350","$11098","$1265691560","100","5241530","-3.0%",
"wide leather cuff","2488","2.0%","4739","49","$0","$0","","40%","23%","Yes","","","10.8","4","$0","Low","50","458","58","1.88%","$50.28","0.01","Very low","3758","3612510","$1738","$1367040","50","45390","0.0%",
"womens leather","224204","-24.0%","662416","29","$0","$0","","0%","0%","Yes","","","14.6","4","$0","Low","1900","386","55","1.90%","$95.55","0.00","Very high","6177","224397184","$4178","$137023744","68","2357696","0.0%",
